 ['Maximiliano Aguirre', '558', '42.67'],
 ['Braydon Fong', '559', '42.69'],
 ['Ethan Chen', '560', '42.70'],
 ['Santiago Massone', '561', '42.71'],
 ['Hunter Kleinschmit', '562', '42.77'],
 ['Nicholas Diaconescu', '563', '42.80'],
 ['Gavin Crail', '563', '42.80'],
 ['Arthur Zhou', '563', '42.80'],
 ['Tyler Lee', '566', '42.82'],
 ['Beck Johnson', '567', '42.83'],
 ['Griffin Barents froman', '568', '42.86'],
 ['Caleb Moore', '569', '42.87'],
 ['Lucas Moise', '570', '42.90'],
 ['Joshua Reines', '571', '42.91'],
 ['Jacob Piccini', '571', '42.91'],
 ['Levi Gomez', '573', '42.93'],
 ['Joshua Parkes', '574', '42.99'],
 ['Erik Fahnestock', '574', '42.99'],
 ['Jack Robertson', '576', '43.03'],
 ['Owen McLellan', '577', '43.06'],
 ['Chase Matheson', '578', '43.09'],
 ['Rayan Engineer', '579', '43.11'],
 ['Kingston Dealy', '580', '43.14'],
 ['Luke Biddle', '580', '43.14'],
 ['Jack Riegel', '582', '43.19'],
 ['Aiden Stewart', '583', '43.22'],
 ['Jack Valentine', '583', '43.22'],
 ['Sahan Nagodavithana', '585', '43.27'],
 ['Austin Zhong', '585', '43.27'],
 ['Alex Wood', '587', '43.29'],
 ['Brady Baur', '588', '43.33'],
 ['Raihau Sunaoka', '589', '43.35'],
 ['Caign Boonen', '590', '43.36'],
 ['Henrik Larsen', '591', '43.40'],
 ['Eric Yuan', '592', '43.46'],
 ['Edmund Bui', '593', '43.47'],
 ['Milo pfeifer', '593', '43.47'],
 ['Jason Sun', '595', '43.48'],
 ['Danny Beyerbach', '596', '43.52'],
 ['Ender Ramsby', '596', '43.52'],
 ['Logan Truskowski', '596', '43.52'],
 ['Abel Guel', '599', '43.54'],
 ['Jenkins Dobbins', '599', '43.54'],
 ['Brady Jordan', '601', '43.63'],
 ['Mark Morsy', '602', '43.65'],
 ['Reuben Agbaje', '603', '43.66'],
 ['Ethan Persten', '604', '43.68'],
 ['colton Mettler', '605', '43.69'],
 ['Luca Fong', '606', '43.72'],
 ['Ethan Yi', '607', '43.74'],
 ['Karlo Ivanovic', '608', '43.76'],
 ['Jack Weston', '609', '43.79'],
 ['Benjamin Pei', '610', '43.81'],
 ['Joey Vicari', '611', '43.86'],
 ['Owen Rademacker', '612', '43.93'],
 ['Caleb Camet', '613', '43.99'],
 ['Nathan Kennedy', '614', '44.00'],
 ['Brody Wyatt', '615', '44.04'],
 ['Dylan Patterson', '616', '44.05'],
 ['Rush Curry', '617', '44.06'],
 ['Noah Zuckermann', '618', '44.07'],
 ['Henry Scott', '619', '44.11'],
 ['Ethan Lim', '620', '44.15'],
 ['Sean Parker', '621', '44.25'],
 ['Ben Gotro', '622', '44.30'],
 ['Caio Cobb Rodrigues', '623', '44.35'],
 ['Sam Vallino', '623', '44.35'],
 ['John Knapschaefer', '623', '44.35'],
 ['JT Goett', '626', '44.43'],
